timestamp;txHash;blockNumber;cumulativeGasUsed;gasUsed;from;to;effectiveGasPrice
06/21/2024, 19:23:10;0xc0e9153ed50f4bdd81193ffebffc6ccef107d1efb457a7e0dcb192c57a78240b;211130;27176;27176;0x1b8C96Cc103ab3645844a44ca3F56461e416a244;0x59fA51F266F909232757Fdf829a4948d3efe8459;20000000000
06/21/2024, 19:23:10;0xad0161fcc4496cda99bf45c2d6d7bd7b75b4e2a3a70695d90dbb10b9665e0c90;211131;27176;27176;0x1b8C96Cc103ab3645844a44ca3F56461e416a244;0x59fA51F266F909232757Fdf829a4948d3efe8459;20000000000
06/21/2024, 19:23:10;0x2a976d158cce412067cab329151b4696bf37d8d9c1f637abe36ef82619618afb;211132;27176;27176;0x1b8C96Cc103ab3645844a44ca3F56461e416a244;0x59fA51F266F909232757Fdf829a4948d3efe8459;20000000000
06/21/2024, 19:23:10;0xd56f10940f6077f8c55f8d0731c2f133aeeae5052b39a40c005b853bda767f65;211133;27176;27176;0x1b8C96Cc103ab3645844a44ca3F56461e416a244;0x59fA51F266F909232757Fdf829a4948d3efe8459;20000000000
06/21/2024, 19:23:10;0xeaed1920b6c6fb16afc9acb522a17a6517b1a697ddf1a523064ac378c770f298;211134;27176;27176;0x1b8C96Cc103ab3645844a44ca3F56461e416a244;0x59fA51F266F909232757Fdf829a4948d3efe8459;20000000000
06/21/2024, 19:23:10;0x6d7a90facdead250836f2cd5bd9802e1788d6969e648b8e96170ee9ce2e140cd;211135;27176;27176;0x1b8C96Cc103ab3645844a44ca3F56461e416a244;0x59fA51F266F909232757Fdf829a4948d3efe8459;20000000000
06/21/2024, 19:23:10;0xcfc8af7807dba46cc8c7a46c6acf2dabaa02da79553e564b8474826f4dfd26e0;211136;27176;27176;0x1b8C96Cc103ab3645844a44ca3F56461e416a244;0x59fA51F266F909232757Fdf829a4948d3efe8459;20000000000
06/21/2024, 19:23:10;0x2424d7a2b855868070acd6af4d634e6359894d6eb3610372a54113925bd3d791;211137;27176;27176;0x1b8C96Cc103ab3645844a44ca3F56461e416a244;0x59fA51F266F909232757Fdf829a4948d3efe8459;20000000000
06/21/2024, 19:23:10;0x549b6b44351205ce3945c143920a45c555b90e8d43554fcb30bf0f748ec10a36;211138;27176;27176;0x1b8C96Cc103ab3645844a44ca3F56461e416a244;0x59fA51F266F909232757Fdf829a4948d3efe8459;20000000000
06/21/2024, 19:23:10;0xbd8c45a2d53cd37b87233d0b23c57c8c66a7b16009f3bce176028beb5278a91f;211139;27176;27176;0x1b8C96Cc103ab3645844a44ca3F56461e416a244;0x59fA51F266F909232757Fdf829a4948d3efe8459;20000000000
