timestamp;txHash;blockNumber;cumulativeGasUsed;gasUsed;from;to;effectiveGasPrice
06/21/2024, 19:33:07;0x85bce4766250c8435782c00c7f25e3c542ffdcdfa41e412a7750356254090d21;211316;27176;27176;0x1b8C96Cc103ab3645844a44ca3F56461e416a244;0x59fA51F266F909232757Fdf829a4948d3efe8459;20000000000
06/21/2024, 19:33:07;0xb8d718bd7d17927b2d6a81a4bf40e3751bc058eb964e62cdece5b68802b4190a;211317;27176;27176;0x1b8C96Cc103ab3645844a44ca3F56461e416a244;0x59fA51F266F909232757Fdf829a4948d3efe8459;20000000000
06/21/2024, 19:33:07;0xa306b7486d632afdb2e9ce4e3907e9178801765598e74226d632b6c9b5f9ba02;211318;27176;27176;0x1b8C96Cc103ab3645844a44ca3F56461e416a244;0x59fA51F266F909232757Fdf829a4948d3efe8459;20000000000
06/21/2024, 19:33:07;0x196c0c5b93c4c707bed738a5e14a9ae19f222dd96558071a4e38056cafb95e8f;211319;27176;27176;0x1b8C96Cc103ab3645844a44ca3F56461e416a244;0x59fA51F266F909232757Fdf829a4948d3efe8459;20000000000
06/21/2024, 19:33:07;0x45d3a0320345779dfe088c6986e199a3d5761d7f28799a1b8f10781c7f3ed6cb;211320;27176;27176;0x1b8C96Cc103ab3645844a44ca3F56461e416a244;0x59fA51F266F909232757Fdf829a4948d3efe8459;20000000000
06/21/2024, 19:33:07;0x995a6cdc92b9bab64b861de25a9207afe126902ca418246a8d8da976ff49c2f3;211321;27176;27176;0x1b8C96Cc103ab3645844a44ca3F56461e416a244;0x59fA51F266F909232757Fdf829a4948d3efe8459;20000000000
06/21/2024, 19:33:07;0x18cbf7d366864148cd79301687e610b27444ffca44315426789554171e2486ad;211322;27176;27176;0x1b8C96Cc103ab3645844a44ca3F56461e416a244;0x59fA51F266F909232757Fdf829a4948d3efe8459;20000000000
06/21/2024, 19:33:07;0x3534d769db89b48651bfa2b84593819fd6ac45736f8b1aac1902121d0f680555;211323;27176;27176;0x1b8C96Cc103ab3645844a44ca3F56461e416a244;0x59fA51F266F909232757Fdf829a4948d3efe8459;20000000000
06/21/2024, 19:33:07;0x49dea312b06bab728e8f81c9fab20fb428fada4dbe893368f4edae6ff10dad17;211324;27176;27176;0x1b8C96Cc103ab3645844a44ca3F56461e416a244;0x59fA51F266F909232757Fdf829a4948d3efe8459;20000000000
06/21/2024, 19:33:07;0x22ad7545d75fe8dcf56fce004763d8ade287ff7285662d70bd85a465b55c6543;211325;27176;27176;0x1b8C96Cc103ab3645844a44ca3F56461e416a244;0x59fA51F266F909232757Fdf829a4948d3efe8459;20000000000
